,No,Kode Baru,Nama Bahan Makanan,Air (g),Energi (Kal),Protein (g),Lemak (g),Karbohidrat (g),Serat (g),Abu (g),Kalsium (Ca) (mg),Fosfor (P) (mg),Besi (Fe) (mg),Natrium (Na) (mg),Kalium (Ka) (mg),Tembaga (Cu) (mg),Seng (Zn) (mg),Retinol (vit. A) (mcg),β-karoten (mcg),Karoten total (mcg),Thiamin (vit. B1) (mg),Riboflavin (vit. B2) (mg),Niasin (mg),Vitamin C (mg),BDD (%),Mentah/Olahan,Kelompok Makanan,Sumber TKPI 2019
144,260,DP008,Daun singkong. rebus,90.5,31,3.7,0.6,4.8,1.6,0.4,160.0,50.0,2.6,13.0,14.0,0.1,2.0,,3.897,4.15,0.02,0.1,1.7,34.0,100.0,Olahan,Sayur,KZGPI-1990
145,261,DR071,Daun singkong. segar,84.4,50,6.2,1.1,7.1,2.4,1.2,166.0,99.0,1.3,17.0,23.1,0.1,2.0,,3.204,7.052,0.04,0.1,1.8,103.0,87.0,Tunggal,Sayur,KZGPI-1990
146,262,DR075,Daun sintrong. segar,88.5,36,2.6,0.9,6.1,1.7,1.9,398.0,95.0,9.3,64.0,444.4,0.1,0.4,,10.178,8.868,0.03,0.2,0.9,3.0,94.0,Tunggal,Sayur,KZGPI-1990
147,263,DP009,Daun talas. rebus,91.6,27,1.3,0.2,5.9,1.6,1.0,119.0,41.0,1.4,3.0,519.4,0.5,0.5,,4.641,2.682,,0.6,1.9,7.0,100.0,Olahan,Sayur,KZGPI-1990
148,264,DR076,Daun talas. segar,81.1,59,3.0,0.4,13.5,3.0,2.0,236.0,50.0,2.4,4.0,854.1,0.4,0.5,,3.816,5.74,0.07,0.6,2.0,24.0,80.0,Tunggal,Sayur,KZGPI-1990
149,265,DR077,Daun tespong. segar,81.0,70,2.9,0.3,13.9,2.3,1.9,155.0,65.0,2.5,72.0,,0.15,0.9,,171.0,2.5,0.05,0.7,1.4,21.0,60.0,Tunggal,Sayur,DABM-1964
150,266,DR078,Daun ubi kuning. segar,83.5,62,3.7,0.3,11.1,6.4,1.4,170.0,40.0,0.6,10.0,,0.2,0.5,,3.564,,0.3,0.3,1.2,4.0,75.0,Tunggal,Sayur,KZGMI-2001
151,267,DP010,Daun ubi merah. kukus,82.5,56,3.1,0.3,13.0,1.5,1.1,78.0,52.0,4.3,28.0,472.8,0.1,0.4,,5.277,5.397,,0.2,1.1,14.0,100.0,Olahan,Sayur,KZGPI-1990
152,268,DR079,Daun ubi merah. segar,84.4,48,3.0,0.3,10.8,1.4,1.5,80.0,81.0,6.4,33.0,517.3,,0.4,,5.453,4.697,0.1,0.2,1.2,27.0,75.0,Tunggal,Sayur,KZGPI-1990
153,269,DR080,Daun ubi putih. segar,87.5,46,2.8,0.2,8.2,4.8,1.3,120.0,50.0,0.8,10.0,,0.2,0.5,,103.0,,0.3,0.3,0.9,8.0,75.0,Tunggal,Sayur,KZGMI-2001
154,270,DR081,Daun ubi tinta. segar,85.1,55,1.7,0.1,11.9,7.6,1.2,120.0,40.0,0.6,10.0,,0.2,0.5,,516.0,,0.2,,,7.0,75.0,Tunggal,Sayur,KZGMI-2001
155,273,FP045,Djibokum. masakan,43.4,248,10.0,2.3,40.9,0.1,3.4,116.0,110.0,2.8,401.0,,,,52.0,,1.92,0.75,,,,100.0,Olahan,Daging,KZGMS-1993
156,275,CP023,Dodol banjarmasin,17.3,368,2.6,8.6,70.0,0.5,1.5,51.0,180.0,3.3,48.0,96.0,0.4,2.6,,,,0.04,0.07,2.3,,100.0,Olahan,Kacang,KZGMI-2001
157,276,AP044,Dodol galamai,16.5,348,0.4,3.8,76.1,0.5,1.2,41.0,144.0,2.6,38.0,76.0,0.3,2.1,,,,0.03,0.06,1.8,,100.0,Olahan,Serealia,KZGMI-2001
158,278,AP046,Dodol manado,26.1,373,4.3,16.5,51.9,0.4,1.2,41.0,142.0,2.4,35.0,72.0,0.3,2.1,,,,0.04,0.06,2.1,,100.0,Olahan,Serealia,KZGMI-2001
159,242,DR057,Daun ndusuk. segar,56.0,166,1.7,0.5,38.8,10.7,3.0,40.0,20.0,1.8,40.0,310.0,0.2,0.7,,14.457,,0.4,0.1,0.1,30.0,,Tunggal,Sayur,KZGMI-2001
160,243,DR058,Daun oyong. segar,93.0,22,1.0,0.1,5.3,2.0,0.6,21.0,44.0,2.0,40.0,295.5,0.1,0.2,,855.0,1.0,0.08,0.1,0.8,150.0,65.0,Tunggal,Sayur,DABM-1964
161,244,DR060,Daun pakis longgiho. segar,89.5,54,2.2,3.6,3.1,2.1,1.6,40.0,80.0,0.7,70.0,500.0,0.4,0.1,,168.0,,0.4,0.3,0.2,8.0,70.0,Tunggal,Sayur,KZGMI-2001
162,245,DR061,Daun pakis wambateu. segar,86.9,53,3.4,1.2,7.2,4.8,1.3,30.0,100.0,0.3,20.0,200.0,0.2,0.3,,191.0,,0.7,0.2,0.3,6.0,70.0,Tunggal,Sayur,KZGMI-2001
163,246,DR059,Daun pakis. segar,86.8,39,4.5,0.4,6.9,2.0,1.4,136.0,159.0,2.3,20.0,201.9,0.2,0.3,,1.625,3.292,0.02,0.1,0.5,3.0,70.0,Tunggal,Sayur,KZGPI-1990
164,247,DR062,Daun paku. segar,88.8,29,3.4,0.1,6.5,4.3,1.2,13.0,88.0,1.3,19.0,434.0,0.5,0.7,,18.0,,0.2,0.1,11.7,10.0,70.0,Tunggal,Sayur,KZGMI-2001
165,248,DR063,Daun pangi.segar,76.1,104,3.9,0.6,17.9,8.3,1.5,256.0,22.0,1.8,4.0,266.0,1.7,0.5,,55.0,,0.4,0.1,0.1,23.0,90.0,Tunggal,Sayur,KZGMI-2001
166,249,DR064,Daun pare. segar,87.3,49,2.7,1.0,8.4,3.0,1.6,217.0,70.0,3.3,7.0,498.0,0.4,1.2,,1.8,,0.4,0.2,0.6,7.0,,Tunggal,Sayur,KZGMI-2001
167,250,DR065,Daun pepaya. segar,75.4,87,8.0,2.0,11.9,1.5,2.7,353.0,63.0,0.8,4.0,926.6,0.2,1.5,,5.409,18.25,0.15,0.5,1.9,140.0,71.0,Tunggal,Sayur,DABM-1964
168,252,NR017,Daun salam. bubuk,13.1,301,14.2,10.9,49.0,9.4,12.8,86.0,250.0,44.1,180.0,619.0,1.31,0.7,,5.4,,0.1,0.32,5.0,,100.0,Tunggal,Bumbu,FCTEA-1972
169,253,DR067,Daun selasih. segar,83.1,62,4.0,0.5,10.5,5.3,1.9,122.0,16.0,13.9,3.0,259.0,0.4,0.7,,4.112,,0.5,0.1,0.2,24.0,53.0,Tunggal,Sayur,KZGMI-2001
170,254,DR068,Daun semanggi. segar,84.7,45,4.4,0.5,8.5,1.9,1.9,98.0,90.0,7.0,64.0,520.7,0.5,0.3,,64.0,3.365,0.01,0.5,0.7,6.0,90.0,Tunggal,Sayur,KZGPI-1990
171,257,DR072,Daun singkong ambon. segar,58.0,144,12.7,1.2,25.2,10.2,2.9,165.0,54.0,3.9,44.0,62.2,0.2,5.4,,8.627,13.0,0.21,1.0,4.2,220.0,87.0,Tunggal,Sayur,DABM-1964
172,258,DR073,Daun singkong ampenan. segar,84.4,50,6.2,1.1,7.1,2.4,1.2,352.0,123.0,2.7,49.0,570.0,0.2,1.3,,7.917,,0.5,0.1,1.6,103.0,87.0,Tunggal,Sayur,KZGMI-2001
173,259,DR074,Daun singkong kopang. segar,81.1,74,6.3,0.7,10.7,4.6,1.2,142.0,115.0,1.7,32.0,382.0,0.2,1.5,,3.882,,0.5,0.5,1.9,211.0,87.0,Tunggal,Sayur,KZGMI-2001
174,260,DP008,Daun singkong. rebus,90.5,31,3.7,0.6,4.8,1.6,0.4,160.0,50.0,2.6,13.0,14.0,0.1,2.0,,3.897,4.15,0.02,0.1,1.7,34.0,100.0,Olahan,Sayur,KZGPI-1990
175,261,DR071,Daun singkong. segar,84.4,50,6.2,1.1,7.1,2.4,1.2,166.0,99.0,1.3,17.0,23.1,0.1,2.0,,3.204,7.052,0.04,0.1,1.8,103.0,87.0,Tunggal,Sayur,KZGPI-1990
176,262,DR075,Daun sintrong. segar,88.5,36,2.6,0.9,6.1,1.7,1.9,398.0,95.0,9.3,64.0,444.4,0.1,0.4,,10.178,8.868,0.03,0.2,0.9,3.0,94.0,Tunggal,Sayur,KZGPI-1990
177,263,DP009,Daun talas. rebus,91.6,27,1.3,0.2,5.9,1.6,1.0,119.0,41.0,1.4,3.0,519.4,0.5,0.5,,4.641,2.682,,0.6,1.9,7.0,100.0,Olahan,Sayur,KZGPI-1990
178,264,DR076,Daun talas. segar,81.1,59,3.0,0.4,13.5,3.0,2.0,236.0,50.0,2.4,4.0,854.1,0.4,0.5,,3.816,5.74,0.07,0.6,2.0,24.0,80.0,Tunggal,Sayur,KZGPI-1990
179,265,DR077,Daun tespong. segar,81.0,70,2.9,0.3,13.9,2.3,1.9,155.0,65.0,2.5,72.0,,0.15,0.9,,171.0,2.5,0.05,0.7,1.4,21.0,60.0,Tunggal,Sayur,DABM-1964
180,266,DR078,Daun ubi kuning. segar,83.5,62,3.7,0.3,11.1,6.4,1.4,170.0,40.0,0.6,10.0,,0.2,0.5,,3.564,,0.3,0.3,1.2,4.0,75.0,Tunggal,Sayur,KZGMI-2001
181,267,DP010,Daun ubi merah. kukus,82.5,56,3.1,0.3,13.0,1.5,1.1,78.0,52.0,4.3,28.0,472.8,0.1,0.4,,5.277,5.397,,0.2,1.1,14.0,100.0,Olahan,Sayur,KZGPI-1990
182,268,DR079,Daun ubi merah. segar,84.4,48,3.0,0.3,10.8,1.4,1.5,80.0,81.0,6.4,33.0,517.3,,0.4,,5.453,4.697,0.1,0.2,1.2,27.0,75.0,Tunggal,Sayur,KZGPI-1990
183,269,DR080,Daun ubi putih. segar,87.5,46,2.8,0.2,8.2,4.8,1.3,120.0,50.0,0.8,10.0,,0.2,0.5,,103.0,,0.3,0.3,0.9,8.0,75.0,Tunggal,Sayur,KZGMI-2001
184,270,DR081,Daun ubi tinta. segar,85.1,55,1.7,0.1,11.9,7.6,1.2,120.0,40.0,0.6,10.0,,0.2,0.5,,516.0,,0.2,,,7.0,75.0,Tunggal,Sayur,KZGMI-2001
185,273,FP045,Djibokum. masakan,43.4,248,10.0,2.3,40.9,0.1,3.4,116.0,110.0,2.8,401.0,,,,52.0,,1.92,0.75,,,,100.0,Olahan,Daging,KZGMS-1993
186,275,CP023,Dodol banjarmasin,17.3,368,2.6,8.6,70.0,0.5,1.5,51.0,180.0,3.3,48.0,96.0,0.4,2.6,,,,0.04,0.07,2.3,,100.0,Olahan,Kacang,KZGMI-2001
187,276,AP044,Dodol galamai,16.5,348,0.4,3.8,76.1,0.5,1.2,41.0,144.0,2.6,38.0,76.0,0.3,2.1,,,,0.03,0.06,1.8,,100.0,Olahan,Serealia,KZGMI-2001
188,278,AP046,Dodol manado,26.1,373,4.3,16.5,51.9,0.4,1.2,41.0,142.0,2.4,35.0,72.0,0.3,2.1,,,,0.04,0.06,2.1,,100.0,Olahan,Serealia,KZGMI-2001
189,242,DR057,Daun ndusuk. segar,56.0,166,1.7,0.5,38.8,10.7,3.0,40.0,20.0,1.8,40.0,310.0,0.2,0.7,,14.457,,0.4,0.1,0.1,30.0,,Tunggal,Sayur,KZGMI-2001
190,243,DR058,Daun oyong. segar,93.0,22,1.0,0.1,5.3,2.0,0.6,21.0,44.0,2.0,40.0,295.5,0.1,0.2,,855.0,1.0,0.08,0.1,0.8,150.0,65.0,Tunggal,Sayur,DABM-1964
191,244,DR060,Daun pakis longgiho. segar,89.5,54,2.2,3.6,3.1,2.1,1.6,40.0,80.0,0.7,70.0,500.0,0.4,0.1,,168.0,,0.4,0.3,0.2,8.0,70.0,Tunggal,Sayur,KZGMI-2001
192,245,DR061,Daun pakis wambateu. segar,86.9,53,3.4,1.2,7.2,4.8,1.3,30.0,100.0,0.3,20.0,200.0,0.2,0.3,,191.0,,0.7,0.2,0.3,6.0,70.0,Tunggal,Sayur,KZGMI-2001
193,246,DR059,Daun pakis. segar,86.8,39,4.5,0.4,6.9,2.0,1.4,136.0,159.0,2.3,20.0,201.9,0.2,0.3,,1.625,3.292,0.02,0.1,0.5,3.0,70.0,Tunggal,Sayur,KZGPI-1990
194,247,DR062,Daun paku. segar,88.8,29,3.4,0.1,6.5,4.3,1.2,13.0,88.0,1.3,19.0,434.0,0.5,0.7,,18.0,,0.2,0.1,11.7,10.0,70.0,Tunggal,Sayur,KZGMI-2001
195,248,DR063,Daun pangi.segar,76.1,104,3.9,0.6,17.9,8.3,1.5,256.0,22.0,1.8,4.0,266.0,1.7,0.5,,55.0,,0.4,0.1,0.1,23.0,90.0,Tunggal,Sayur,KZGMI-2001
196,249,DR064,Daun pare. segar,87.3,49,2.7,1.0,8.4,3.0,1.6,217.0,70.0,3.3,7.0,498.0,0.4,1.2,,1.8,,0.4,0.2,0.6,7.0,,Tunggal,Sayur,KZGMI-2001
197,250,DR065,Daun pepaya. segar,75.4,87,8.0,2.0,11.9,1.5,2.7,353.0,63.0,0.8,4.0,926.6,0.2,1.5,,5.409,18.25,0.15,0.5,1.9,140.0,71.0,Tunggal,Sayur,DABM-1964
198,252,NR017,Daun salam. bubuk,13.1,301,14.2,10.9,49.0,9.4,12.8,86.0,250.0,44.1,180.0,619.0,1.31,0.7,,5.4,,0.1,0.32,5.0,,100.0,Tunggal,Bumbu,FCTEA-1972
199,253,DR067,Daun selasih. segar,83.1,62,4.0,0.5,10.5,5.3,1.9,122.0,16.0,13.9,3.0,259.0,0.4,0.7,,4.112,,0.5,0.1,0.2,24.0,53.0,Tunggal,Sayur,KZGMI-2001
200,254,DR068,Daun semanggi. segar,84.7,45,4.4,0.5,8.5,1.9,1.9,98.0,90.0,7.0,64.0,520.7,0.5,0.3,,64.0,3.365,0.01,0.5,0.7,6.0,90.0,Tunggal,Sayur,KZGPI-1990
201,257,DR072,Daun singkong ambon. segar,58.0,144,12.7,1.2,25.2,10.2,2.9,165.0,54.0,3.9,44.0,62.2,0.2,5.4,,8.627,13.0,0.21,1.0,4.2,220.0,87.0,Tunggal,Sayur,DABM-1964
202,258,DR073,Daun singkong ampenan. segar,84.4,50,6.2,1.1,7.1,2.4,1.2,352.0,123.0,2.7,49.0,570.0,0.2,1.3,,7.917,,0.5,0.1,1.6,103.0,87.0,Tunggal,Sayur,KZGMI-2001
203,259,DR074,Daun singkong kopang. segar,81.1,74,6.3,0.7,10.7,4.6,1.2,142.0,115.0,1.7,32.0,382.0,0.2,1.5,,3.882,,0.5,0.5,1.9,211.0,87.0,Tunggal,Sayur,KZGMI-2001
204,260,DP008,Daun singkong. rebus,90.5,31,3.7,0.6,4.8,1.6,0.4,160.0,50.0,2.6,13.0,14.0,0.1,2.0,,3.897,4.15,0.02,0.1,1.7,34.0,100.0,Olahan,Sayur,KZGPI-1990
205,261,DR071,Daun singkong. segar,84.4,50,6.2,1.1,7.1,2.4,1.2,166.0,99.0,1.3,17.0,23.1,0.1,2.0,,3.204,7.052,0.04,0.1,1.8,103.0,87.0,Tunggal,Sayur,KZGPI-1990
206,262,DR075,Daun sintrong. segar,88.5,36,2.6,0.9,6.1,1.7,1.9,398.0,95.0,9.3,64.0,444.4,0.1,0.4,,10.178,8.868,0.03,0.2,0.9,3.0,94.0,Tunggal,Sayur,KZGPI-1990
207,263,DP009,Daun talas. rebus,91.6,27,1.3,0.2,5.9,1.6,1.0,119.0,41.0,1.4,3.0,519.4,0.5,0.5,,4.641,2.682,,0.6,1.9,7.0,100.0,Olahan,Sayur,KZGPI-1990
208,264,DR076,Daun talas. segar,81.1,59,3.0,0.4,13.5,3.0,2.0,236.0,50.0,2.4,4.0,854.1,0.4,0.5,,3.816,5.74,0.07,0.6,2.0,24.0,80.0,Tunggal,Sayur,KZGPI-1990
209,265,DR077,Daun tespong. segar,81.0,70,2.9,0.3,13.9,2.3,1.9,155.0,65.0,2.5,72.0,,0.15,0.9,,171.0,2.5,0.05,0.7,1.4,21.0,60.0,Tunggal,Sayur,DABM-1964
210,266,DR078,Daun ubi kuning. segar,83.5,62,3.7,0.3,11.1,6.4,1.4,170.0,40.0,0.6,10.0,,0.2,0.5,,3.564,,0.3,0.3,1.2,4.0,75.0,Tunggal,Sayur,KZGMI-2001
211,267,DP010,Daun ubi merah. kukus,82.5,56,3.1,0.3,13.0,1.5,1.1,78.0,52.0,4.3,28.0,472.8,0.1,0.4,,5.277,5.397,,0.2,1.1,14.0,100.0,Olahan,Sayur,KZGPI-1990
212,268,DR079,Daun ubi merah. segar,84.4,48,3.0,0.3,10.8,1.4,1.5,80.0,81.0,6.4,33.0,517.3,,0.4,,5.453,4.697,0.1,0.2,1.2,27.0,75.0,Tunggal,Sayur,KZGPI-1990
213,269,DR080,Daun ubi putih. segar,87.5,46,2.8,0.2,8.2,4.8,1.3,120.0,50.0,0.8,10.0,,0.2,0.5,,103.0,,0.3,0.3,0.9,8.0,75.0,Tunggal,Sayur,KZGMI-2001
214,270,DR081,Daun ubi tinta. segar,85.1,55,1.7,0.1,11.9,7.6,1.2,120.0,40.0,0.6,10.0,,0.2,0.5,,516.0,,0.2,,,7.0,75.0,Tunggal,Sayur,KZGMI-2001
215,273,FP045,Djibokum. masakan,43.4,248,10.0,2.3,40.9,0.1,3.4,116.0,110.0,2.8,401.0,,,,52.0,,1.92,0.75,,,,100.0,Olahan,Daging,KZGMS-1993
216,275,CP023,Dodol banjarmasin,17.3,368,2.6,8.6,70.0,0.5,1.5,51.0,180.0,3.3,48.0,96.0,0.4,2.6,,,,0.04,0.07,2.3,,100.0,Olahan,Kacang,KZGMI-2001
217,276,AP044,Dodol galamai,16.5,348,0.4,3.8,76.1,0.5,1.2,41.0,144.0,2.6,38.0,76.0,0.3,2.1,,,,0.03,0.06,1.8,,100.0,Olahan,Serealia,KZGMI-2001
218,278,AP046,Dodol manado,26.1,373,4.3,16.5,51.9,0.4,1.2,41.0,142.0,2.4,35.0,72.0,0.3,2.1,,,,0.04,0.06,2.1,,100.0,Olahan,Serealia,KZGMI-2001
219,394,GP019,Ikan Mas pepes,57.5,209,15.2,11.3,11.8,0.5,4.3,686.0,530.0,6.1,74.0,276.7,0.1,1.9,3.0,,315.0,0.13,0.1,2.4,,100.0,Olahan,Ikan dsb,KZGPI-1990
220,417,GR072,Ikan Sale. segar,8.5,534,40.2,39.3,4.9,2.0,7.1,199.0,1.244,2.7,673.0,673.0,0.3,2.6,,410.0,,0.02,0.5,,0.2,100.0,Tunggal,Ikan dsb,BKP
221,417,GR072,Ikan Sale. segar,8.5,534,40.2,39.3,4.9,2.0,7.1,199.0,1.244,2.7,673.0,673.0,0.3,2.6,,410.0,,0.02,0.5,,0.2,100.0,Tunggal,Ikan dsb,BKP
222,417,GR072,Ikan Sale. segar,8.5,534,40.2,39.3,4.9,2.0,7.1,199.0,1.244,2.7,673.0,673.0,0.3,2.6,,410.0,,0.02,0.5,,0.2,100.0,Tunggal,Ikan dsb,BKP
223,417,GR072,Ikan Sale. segar,8.5,534,40.2,39.3,4.9,2.0,7.1,199.0,1.244,2.7,673.0,673.0,0.3,2.6,,410.0,,0.02,0.5,,0.2,100.0,Tunggal,Ikan dsb,BKP
224,564,DR101,Kangkung tondano,88.5,43,1.8,0.2,8.4,4.3,1.1,72.0,9.0,0.7,30.0,361.0,0.3,0.4,,2.741,,0.8,0.1,1.1,23.0,60.0,Tunggal,Sayur,KZGMI-2001
225,565,DP013,Kangkung. kukus,90.4,30,3.2,0.7,4.7,1.8,1.0,70.0,49.0,4.4,45.0,184.9,0.1,0.4,,2.37,5.837,0.03,0.28,1.4,11.0,100.0,Olahan,Sayur,KZGPI-1990
226,566,DP014,Kangkung. rebus,93.0,22,2.5,0.6,3.1,1.2,0.8,50.0,51.0,3.5,31.0,98.0,0.1,0.3,,2.37,4.325,0.01,0.22,1.2,13.0,100.0,Olahan,Sayur,KZGPI-1990
227,567,DR100,Kangkung. segar,91.0,28,3.4,0.7,3.9,2.0,1.0,67.0,54.0,2.3,65.0,250.1,0.13,0.4,,2.868,5.542,0.07,0.36,2.0,17.0,60.0,Tunggal,Sayur,KZGPI-1990
228,568,DP036,Kaparende. sayur,91.7,38,2.4,2.0,2.6,1.5,1.3,126.0,68.0,,170.0,43.0,,0.3,,40.0,,0.1,,3.7,22.0,100.0,Olahan,Sayur,KZGMI-2001
229,569,DR102,Kapri muda. segar,86.8,45,3.3,0.2,9.0,1.8,0.7,51.0,85.0,1.0,2.0,118.4,0.09,0.7,,72.0,440.0,0.2,0.1,0.9,49.0,80.0,Tunggal,Sayur,DABM-1964
230,570,BP032,Kapurung,79.6,41,2.0,0.3,7.8,2.0,0.6,34.0,12.0,0.3,185.0,566.0,0.1,0.3,,213.0,,0.12,0.25,2.7,15.0,100.0,Olahan,Umbi,KZGMI-2001
231,571,AP056,Kapusa,63.5,158,4.4,3.2,27.8,5.3,1.0,79.0,115.0,1.2,104.0,149.0,0.5,1.1,,1.374,,0.06,0.05,0.1,,100.0,Olahan,Serealia,KZGMI-2001
232,572,DR103,Karawila,93.7,25,2.3,0.2,3.5,2.1,0.3,25.0,67.0,0.3,8.0,88.4,0.08,0.3,,21.0,,0.1,0.1,0.4,39.0,80.0,Tunggal,Sayur,KZGMI-2001
233,574,ER042,Kawista. segar,71.8,120,3.5,2.5,20.8,4.6,1.4,190.0,230.0,1.6,9.0,,308.43,0.4,,99.0,,0.07,0.07,0.4,3.0,72.0,Tunggal,Buah,KZGPI-1990
234,577,DR104,Kecipir muda. segar,90.4,32,2.9,0.2,5.8,5.5,0.7,63.0,37.0,0.3,3.0,103.8,0.18,0.4,,261.0,595.0,0.24,0.11,0.7,19.0,96.0,Tunggal,Sayur,DABM-1964
235,578,DR105,Kecombrang. segar,90.0,34,0.9,1.0,6.7,2.6,1.4,60.0,16.0,1.0,47.0,650.6,,,,,73.0,,0.02,0.8,,100.0,Tunggal,Sayur,KZGPI-1990
236,580,ER043,Kedondong masak. segar,88.0,46,1.0,0.1,10.3,2.6,0.6,15.0,22.0,2.8,2.0,216.2,0.03,0.1,,164.0,233.0,0.08,0.23,0.3,30.0,58.0,Tunggal,Buah,DABM-1964
237,581,ER044,Kedondong. segar,87.8,47,0.5,0.2,10.4,2.7,0.6,7.0,58.0,0.8,2.0,,,0.2,,167.0,,0.07,0.04,0.4,32.0,58.0,Tunggal,Buah,KZGMI-2001
238,583,CP036,Keju kacang tanah (peanut butter),3.0,590,27.0,49.0,20.9,1.6,0.1,60.0,360.0,2.0,355.0,492.4,0.57,2.7,,,,0.3,0.2,16.2,,100.0,Olahan,Kacang,DABM-1964
239,584,ER045,Kelapa hutan. kering,6.0,623,2.0,52.1,36.5,15.3,3.4,120.0,280.0,3.8,100.0,460.0,1.7,1.9,,,,,,0.2,,,Tunggal,Buah,KZGMI-2001
240,587,KR001,Kelapa setengah tua. daging. segar,70.0,180,4.0,15.0,10.0,2.4,1.0,8.0,55.0,1.3,4.0,317.8,0.29,2.9,,,10.0,0.05,0.01,0.1,4.0,53.0,Tunggal,Lemak,DABM-1964
241,588,KR002,Kelapa tua. daging. segar,46.9,359,3.4,34.7,14.0,4.7,1.0,21.0,98.0,2.0,3.0,293.9,0.44,1.1,,,,0.1,,,2.0,53.0,Tunggal,Lemak,DABM-1964
242,589,DR106,Kelawi.kluwih. segar,70.0,118,1.5,0.3,27.2,5.0,1.0,28.0,32.0,0.9,2.0,500.9,0.09,0.1,,,20.0,0.1,0.03,0.9,19.0,77.0,Tunggal,Sayur,DABM-1964
243,592,ER047,Kemang. segar,86.5,48,1.0,0.2,11.9,1.7,0.4,10.0,24.0,0.1,2.0,88.6,0.04,0.1,,318.0,6.0,0.08,0.01,0.3,58.0,65.0,Tunggal,Buah,DABM-1964
244,593,DR113,Kembang Kol,91.7,25,2.4,0.2,4.9,1.6,0.8,22.0,72.0,1.1,47.0,187.0,0.04,0.3,,24.0,90.0,0.11,0.09,0.6,69.0,57.0,Tunggal,Sayur,DABM-1964
245,596,DR107,Kembang turi. segar,87.4,51,1.8,0.6,9.6,5.0,0.6,23.0,29.0,0.9,22.0,275.3,0.15,0.9,,201.0,105.0,0.13,0.12,0.6,41.0,83.0,Tunggal,Sayur,DABM-1964
246,597,NR019,Kemiri,7.0,675,19.0,63.0,8.0,3.0,3.0,80.0,200.0,2.0,25.0,430.7,0.23,0.8,,,,0.06,0.06,0.4,,100.0,Tunggal,Bumbu,DABM-1964
247,600,BR014,Kentang hitam. segar,64.0,142,0.9,0.4,33.7,5.4,1.0,34.0,75.0,0.2,22.0,890.3,0.9,0.6,,,,0.02,0.1,2.2,38.0,75.0,Tunggal,Umbi,DABM-1964
248,601,BR013,Kentang. segar,83.4,62,2.1,0.2,13.5,0.5,0.8,63.0,58.0,0.7,7.0,396.0,0.4,0.3,,,,0.09,0.1,1.0,21.0,85.0,Tunggal,Umbi,KZGPI-1990
249,611,BR015,Keribang. ubi. segar,67.0,137,1.3,1.1,29.8,0.6,0.8,45.0,56.0,0.8,10.0,885.8,0.2,0.3,,,,,,0.7,,83.0,Tunggal,Umbi,KZGPI-1990
250,614,BP036,Keripik kentang,7.8,448,2.7,18.8,67.1,3.8,3.6,25.0,130.0,1.2,712.0,406.0,1.1,,,15.0,,0.1,0.05,2.8,,100.0,Olahan,Umbi,KZGMI-2001
251,625,BP039,Keripik ubi,6.0,486,0.2,23.9,67.6,14.3,2.3,68.0,92.0,0.9,52.0,2.0,0.7,2.3,,920.0,,0.1,0.1,0.5,,100.0,Olahan,Umbi,KZGMI-2001
252,626,DR108,Kerokot. segar,93.0,26,1.7,0.4,3.8,1.0,1.1,103.0,39.0,3.6,4.0,240.5,0.23,0.9,,0.2,2.55,0.03,0.09,0.2,25.0,80.0,Tunggal,Sayur,DABM-1964
253,627,BP040,Kerupuk cumi goreng,3.4,444,6.9,14.6,71.3,5.0,3.8,47.0,375.0,1.8,837.0,191.0,0.1,0.3,,,,0.4,0.1,1.8,,100.0,Olahan,Umbi,KZGMI-2001
254,628,BP041,Kerupuk kemplang (ikan) mentah,14.2,325,1.8,0.4,78.5,4.5,5.1,59.0,268.0,2.3,1.123,273.0,0.2,0.5,32.0,,,0.6,0.1,2.3,,100.0,Olahan,Umbi,KZGMI-2001
255,632,BP045,Kerupuk udang goreng,4.4,477,4.7,20.5,68.5,5.0,1.9,24.0,188.0,0.9,449.0,109.0,0.1,0.2,,,,0.2,,0.9,,100.0,Olahan,Umbi,KZGMI-2001
256,634,ER048,Kesemek. segar,78.2,78,0.8,0.4,20.0,0.6,0.6,6.0,26.0,0.3,0.3,34.5,0.13,0.1,,109.0,2.71,0.05,,0.1,11.0,97.0,Tunggal,Buah,DABM-1964
257,635,AP015,Ketan hitam. matang,56.9,181,4.0,1.2,37.3,0.3,0.6,9.0,144.0,1.7,9.0,18.4,0.1,0.7,,,,0.06,,0.5,,100.0,Olahan,Serealia,KZGPI-1990
258,636,AP017,Ketan putih. matang,60.7,163,3.0,0.4,35.7,0.2,0.2,4.0,55.0,0.7,8.0,16.8,0.1,0.7,,,,0.07,,0.5,,100.0,Olahan,Serealia,KZGPI-1990
259,637,BR016,Ketela pohon/ singkong. segar,61.4,154,1.0,0.3,36.8,0.9,0.5,77.0,24.0,1.1,2.0,394.0,0.3,0.4,,,,0.06,0.1,0.5,31.0,85.0,Tunggal,Umbi,KZGPI-1990
260,638,BP008,Ketela pohon/singkong kukus,61.5,153,1.2,0.3,36.4,1.3,0.6,56.0,22.0,0.4,2.0,345.3,0.3,0.1,,,,,,0.3,20.0,100.0,Olahan,Umbi,KZGPI-1990
261,639,DR110,Ketimun krai. segar,96.8,10,0.5,0.2,2.0,0.6,0.5,20.0,98.0,1.0,10.0,82.1,0.03,0.1,,19.0,21.0,0.02,0.03,0.1,3.0,82.0,Tunggal,Sayur,KZGPI-1990
