,No,Kode Baru,Nama Bahan Makanan,Air (g),Energi (Kal),Protein (g),Lemak (g),Karbohidrat (g),Serat (g),Abu (g),Kalsium (Ca) (mg),Fosfor (P) (mg),Besi (Fe) (mg),Natrium (Na) (mg),Kalium (Ka) (mg),Tembaga (Cu) (mg),Seng (Zn) (mg),Retinol (vit. A) (mcg),β-karoten (mcg),Karoten total (mcg),Thiamin (vit. B1) (mg),Riboflavin (vit. B2) (mg),Niasin (mg),Vitamin C (mg),BDD (%),Mentah/Olahan,Kelompok Makanan,Sumber TKPI 2019
68,144,DR011,Buah kelor,89.5,38,1.5,0.2,7.5,3.2,1.3,30.0,54.0,,48.0,216.0,,0.2,,31.0,,0.1,0.1,4.1,25.0,65.0,Tunggal,Sayur,KZGMI-2001
69,146,ER011,Buah mentega (Bisbul). segar,89.0,39,0.7,0.2,9.7,2.0,0.4,43.0,17.0,0.8,1.0,90.0,0.06,0.1,,141.0,55.0,0.02,0.01,0.1,33.0,50.0,Tunggal,Buah,DABM-1964
70,147,DR012,Buah merah,81.2,87,2.6,2.7,13.1,4.0,0.4,30.0,1.0,1.1,110.0,140.0,0.1,0.3,,,,1.5,0.1,0.2,15.0,100.0,Tunggal,Sayur,KZGMI-2001
71,148,ER012,Buah Naga Merah. segar,85.7,71,1.7,3.1,9.1,3.2,0.4,13.0,14.0,0.4,128.0,128.0,,0.4,,,,0.5,0.3,0.5,1.0,67.0,Tunggal,Buah,BKP
72,149,ER013,Buah Naga Putih. segar,86.6,56,0.8,1.0,10.9,3.2,0.6,13.0,27.0,0.5,231.0,231.0,,0.4,,,,0.02,0.5,0.9,1.0,74.0,Tunggal,Buah,BKP
73,150,ER014,Buah negri. segar,85.7,55,1.2,0.1,12.2,5.2,0.8,30.0,40.0,0.2,10.0,,0.1,0.3,,460.0,,0.33,0.03,0.1,9.0,48.0,Tunggal,Buah,KZGMI-2001
74,151,ER015,Buah nona. segar,71.5,101,1.7,0.6,25.2,2.8,1.0,27.0,20.0,0.8,5.0,312.5,325.7,0.1,,49.0,,0.08,0.16,0.9,22.0,58.0,Tunggal,Buah,DABM-1964
75,153,ER017,Buah rukam. segar,71.3,113,0.8,0.3,26.8,7.7,0.8,108.0,52.0,1.2,2.0,219.0,0.3,0.9,,17.0,,0.06,0.01,,20.0,100.0,Tunggal,Buah,KZGMI-2001
76,154,ER018,Buah ruruhi. segar,93.0,29,2.1,0.7,3.6,2.6,0.3,6.0,7.0,,36.0,45.0,,0.1,,7.0,,0.06,0.01,,10.0,82.0,Tunggal,Buah,KZGMI-2001
77,158,AP040,Bubur tinotuan (Manado),80.9,156,2.3,0.2,15.6,8.2,1.0,41.0,20.0,0.4,486.0,164.0,0.3,0.4,,1.437,,0.1,0.04,,15.0,100.0,Olahan,Serealia,KZGMI-2001
78,159,FP040,Bulgogi. masakan,84.2,72,11.4,4.9,1.4,1.7,0.7,214.0,86.0,2.5,509.0,,,,17.0,,,1.08,,,,100.0,Olahan,Daging,KZGMS-1993
79,160,DP003,Buncis. rebus,90.6,30,2.2,0.2,6.4,1.5,0.6,107.0,47.0,0.5,7.0,138.9,0.1,0.3,,1.0,402.0,0.01,0.29,2.0,8.0,100.0,Olahan,Sayur,KZGPI-1990
80,161,DR013,Buncis. segar,89.6,34,2.4,0.3,7.2,1.9,0.5,101.0,42.0,0.7,8.0,250.0,0.07,0.3,,772.0,550.0,0.05,0.4,2.8,11.0,90.0,Tunggal,Sayur,KZGPI-1990
81,162,DR014,Bunga pepaya. segar,87.3,45,2.6,0.3,8.1,1.6,1.7,290.0,113.0,4.2,2.0,478.3,0.08,0.8,,2.792,5.0,0.01,0.28,1.0,23.0,100.0,Tunggal,Sayur,KZGPI-1990
82,163,DR015,Bunga turi. segar,90.4,42,2.0,1.1,6.1,3.3,0.4,28.0,23.0,0.8,97.0,97.4,0.1,0.6,,1.0,0.1,0.5,0.02,0.4,1.0,96.0,Tunggal,Sayur,BKP
83,169,NR011,Cabai gembor merah. segar,90.8,38,1.6,0.8,6.3,1.6,0.6,49.0,41.0,1.1,7.0,275.3,0.12,0.2,,5.897,3.24,0.21,0.12,,16.0,89.0,Tunggal,Bumbu,KZGPI-1990
